,date,derv,t-1,t-2,t-3,t-4,t-5,t-6,t-7,t-8,t-9,t-10,Value
0,2021-06-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027432
1,2021-06-21 00:10:00+00:00,0.0,0.027432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027432
2,2021-06-21 00:20:00+00:00,-0.001524000000000001,0.027432,0.027432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024384
3,2021-06-21 00:30:00+00:00,0.0,0.024384,0.027432,0.027432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024384
4,2021-06-21 00:40:00+00:00,0.0,0.024384,0.024384,0.027432,0.027432,0.0,0.0,0.0,0.0,0.0,0.0,0.024384
5,2021-06-21 00:50:00+00:00,0.0,0.024384,0.024384,0.024384,0.027432,0.027432,0.0,0.0,0.0,0.0,0.0,0.024384
6,2021-06-21 01:00:00+00:00,0.0,0.024384,0.024384,0.024384,0.024384,0.027432,0.027432,0.0,0.0,0.0,0.0,0.024384
7,2021-06-21 01:10:00+00:00,0.0,0.024384,0.024384,0.024384,0.024384,0.024384,0.027432,0.027432,0.0,0.0,0.0,0.024384
8,2021-06-21 01:20:00+00:00,0.0,0.024384,0.024384,0.024384,0.024384,0.024384,0.024384,0.027432,0.027432,0.0,0.0,0.024384
9,2021-06-21 01:30:00+00:00,-0.00033866666666666653,0.024384,0.024384,0.024384,0.024384,0.024384,0.024384,0.024384,0.027432,0.027432,0.0,0.021336
10,2021-06-21 01:40:00+00:00,0.0,0.021336,0.024384,0.024384,0.024384,0.024384,0.024384,0.024384,0.024384,0.027432,0.027432,0.021336
11,2021-06-21 01:50:00+00:00,0.0,0.021336,0.021336,0.024384,0.024384,0.024384,0.024384,0.024384,0.024384,0.024384,0.027432,0.021336
12,2021-06-21 02:00:00+00:00,0.0012699999999999996,0.021336,0.021336,0.021336,0.024384,0.024384,0.024384,0.024384,0.024384,0.024384,0.024384,0.036576
